location,description,secs,category,CDNumber,CDName,tracknum,clusterLabel,clusterName
07002244.wav,Osterley House Clock striking 6 o'clock,20,,EC105T,Osterley House Clock,6,3.0,clock
07002246.wav,Osterley House Clock striking 8 o'clock,25,,EC105T,Osterley House Clock,8,3.0,clock
07002247.wav,Osterley House Clock striking 9 o'clock,27,,EC105T,Osterley House Clock,9,3.0,clock
07002248.wav,Osterley House Clock striking 10 o'clock,30,,EC105T,Osterley House Clock,10,3.0,clock
07002249.wav,Osterley House Clock striking 11 o'clock,33,,EC105T,Osterley House Clock,11,3.0,clock
07002250.wav,Osterley House Clock striking 12 o'clock,36,,EC105T,Osterley House Clock,12,3.0,clock
07002251.wav,"Church clock striking, 1 o'clock. (St. John the Evangelist)",11,,EC105V,Outdoor Clock,1,3.0,clock
07002252.wav,"Church clock striking, 2 o'clock. (St. John the Evangelist)",12,,EC105V,Outdoor Clock,2,3.0,clock
07002253.wav,"Church clock striking, 3 o'clock. (St. John the Evangelist)",13,,EC105V,Outdoor Clock,3,3.0,clock
07002254.wav,"Church clock striking, 4 o'clock. (St. John the Evangelist)",15,,EC105V,Outdoor Clock,4,3.0,clock
07002255.wav,"Church clock striking, 5 o'clock. (St. John the Evangelist)",16,,EC105V,Outdoor Clock,5,3.0,clock
07002256.wav,"Church clock striking, 6 o'clock. (St. John the Evangelist)",17,,EC105V,Outdoor Clock,6,3.0,clock
07002257.wav,"Church clock striking, 7 o'clock. (St. John the Evangelist)",20,,EC105V,Outdoor Clock,7,3.0,clock
07002258.wav,"Church clock striking, 8 o'clock. (St. John the Evangelist)",21,,EC105V,Outdoor Clock,8,3.0,clock
07002259.wav,"Church clock striking, 9 o'clock. (St. John the Evangelist)",23,,EC105V,Outdoor Clock,9,3.0,clock
07002260.wav,"Church clock striking, 10 o'clock. (St. John the Evangelist)",25,,EC105V,Outdoor Clock,10,3.0,clock
07002261.wav,"Church clock striking, 11 o'clock. (St. John the Evangelist)",28,,EC105V,Outdoor Clock,11,3.0,clock
07002262.wav,"Church clock striking, 12 o'clock. (St. John the Evangelist)",30,,EC105V,Outdoor Clock,12,3.0,clock
07002263.wav,"Church clock striking, 1 o'clock. (All Saints Church)",9,,EC105W,Outdoor Clock,1,3.0,clock
07002264.wav,"Church clock striking, 2 o'clock. (All Saints Church)",13,,EC105W,Outdoor Clock,2,3.0,clock
07002265.wav,"Church clock striking, 3 o'clock. (All Saints Church)",15,,EC105W,Outdoor Clock,3,3.0,clock
07002266.wav,"Church clock striking, 4 o'clock. (All Saints Church)",17,,EC105W,Outdoor Clock,4,3.0,clock
07002267.wav,"Church clock striking, 5 o'clock. (All Saints Church)",18,,EC105W,Outdoor Clock,5,3.0,clock
07002268.wav,"Church clock striking, 6 o'clock. (All Saints Church)",19,,EC105W,Outdoor Clock,6,3.0,clock
07002269.wav,"Church clock striking, 7 o'clock. (All Saints Church)",23,,EC105W,Outdoor Clock,7,3.0,clock
07002270.wav,"Church clock striking, 8 o'clock. (All Saints Church)",24,,EC105W,Outdoor Clock,8,3.0,clock
07002242.wav,Osterley House Clock striking 4 o'clock,16,,EC105T,Osterley House Clock,4,3.0,clock
07002271.wav,"Church clock striking, 9 o'clock. (All Saints Church)",26,,EC105W,Outdoor Clock,9,3.0,clock
07002241.wav,Osterley House Clock striking 3 o'clock,13,,EC105T,Osterley House Clock,3,3.0,clock
07002239.wav,"Osterley House Clock striking, 1 o'clock",8,,EC105T,Osterley House Clock,1,3.0,clock
07002214.wav,"Outdoor clock striking, chimes & 4 o'clock  SS. Peter & Paul ",49,,EC105Q,Outdoor Clock,7,3.0,clock
07002215.wav,"Outdoor clock striking, chimes & 5 o'clock  SS. Peter & Paul ",54,,EC105Q,Outdoor Clock,8,3.0,clock
07002216.wav,"Outdoor clock striking, chimes & 6 o'clock  SS. Peter & Paul ",56,,EC105Q,Outdoor Clock,9,3.0,clock
07016118.wav,Jesus College clock striking two o'clock.,13,,EC36M,"Jesus College Clock, Oxford",5,3.0,clock
07002217.wav,"Outdoor clock striking, chimes & 7 o'clock  SS. Peter & Paul ",58,,EC105Q,Outdoor Clock,10,3.0,clock
07016119.wav,Jesus College clock striking three o'clock.,14,,EC36M,"Jesus College Clock, Oxford",6,3.0,clock
07002218.wav,"Outdoor clock striking, chimes & 8 o'clock  SS. Peter & Paul ",60,,EC105Q,Outdoor Clock,11,3.0,clock
07016120.wav,Jesus College clock striking four o'clock.,16,,EC36M,"Jesus College Clock, Oxford",7,3.0,clock
07002219.wav,"Outdoor clock striking, 9 o'clock - SS. Peter & Paul ",65,,EC105R,"Anne Boleyn's Clock, Hampton Court",1,3.0,clock
07002220.wav,"Outdoor clock striking, 10 o'clock - SS. Peter & Paul",68,,EC105R,"Anne Boleyn's Clock, Hampton Court",2,3.0,clock
07002221.wav,"Outdoor clock striking, 11 o'clock - SS. Peter & Paul",73,,EC105R,"Anne Boleyn's Clock, Hampton Court",3,3.0,clock
07002222.wav,"Outdoor clock striking, 12 o'clock - SS. Peter & Paul",79,,EC105R,"Anne Boleyn's Clock, Hampton Court",4,3.0,clock
07002223.wav,Anne Boleyn's Clock striking half-hour,16,,EC105R,"Anne Boleyn's Clock, Hampton Court",5,3.0,clock
07002224.wav,Anne Boleyn's Clock striking quarter-hour,17,,EC105R,"Anne Boleyn's Clock, Hampton Court",6,3.0,clock
07002225.wav,Anne Boleyn's Clock striking three-quarters,20,,EC105R,"Anne Boleyn's Clock, Hampton Court",7,3.0,clock
07002226.wav,Anne Boleyn's Clock chimes & 1 o'clock,22,,EC105R,"Anne Boleyn's Clock, Hampton Court",8,3.0,clock
07002227.wav,Anne Boleyn's Clock chimes & 2 o'clock,27,,EC105R,"Anne Boleyn's Clock, Hampton Court",9,3.0,clock
07002228.wav,Anne Boleyn's Clock chimes & 3 o'clock,31,,EC105R,"Anne Boleyn's Clock, Hampton Court",10,3.0,clock
07002229.wav,"Anne Boleyn's Clock, chimes & 4 o'clock",33,,EC105S,"Anne Boleyn's Clock, Hampton Court",1,3.0,clock
07002230.wav,"Anne Boleyn's Clock, chimes & 5 o'clock",33,,EC105S,"Anne Boleyn's Clock, Hampton Court",2,3.0,clock
07002231.wav,"Anne Boleyn's Clock, chimes & 6 o'clock",37,,EC105S,"Anne Boleyn's Clock, Hampton Court",3,3.0,clock
07002232.wav,"Anne Boleyn's Clock, chimes & 7 o'clock",41,,EC105S,"Anne Boleyn's Clock, Hampton Court",4,3.0,clock
07002233.wav,"Anne Boleyn's Clock, chimes & 8 o'clock",43,,EC105S,"Anne Boleyn's Clock, Hampton Court",5,3.0,clock
07002234.wav,"Anne Boleyn's Clock, chimes & 9 o'clock",44,,EC105S,"Anne Boleyn's Clock, Hampton Court",6,3.0,clock
07002235.wav,"Anne Boleyn's Clock, chimes & 10 o'clock",47,,EC105S,"Anne Boleyn's Clock, Hampton Court",7,3.0,clock
07002236.wav,"Anne Boleyn's Clock, chimes & 11 o'clock",52,,EC105S,"Anne Boleyn's Clock, Hampton Court",8,3.0,clock
07002237.wav,"Anne Boleyn's Clock, chimes & 12 o'clock",56,,EC105S,"Anne Boleyn's Clock, Hampton Court",9,3.0,clock
07002240.wav,Osterley House Clock striking 2 o'clock,11,,EC105T,Osterley House Clock,2,3.0,clock
07002272.wav,"Church clock striking, 10 o'clock. (All Saints Church)",28,,EC105W,Outdoor Clock,10,3.0,clock
07002273.wav,"Church clock striking, 11 o'clock. (All Saints Church)",30,,EC105W,Outdoor Clock,11,3.0,clock
07002274.wav,"Church clock striking, 12 o'clock. (All Saints Church)",34,,EC105W,Outdoor Clock,12,3.0,clock
07016153.wav,Keble College clock striking one o'clock.,46,,EC36Q,"Keble College Clock, Oxford ",4,3.0,clock
07016154.wav,Keble College clock striking two o'clock.,49,,EC36Q,"Keble College Clock, Oxford ",5,3.0,clock
07016155.wav,Keble College clock striking three o'clock.,51,,EC36Q,"Keble College Clock, Oxford ",6,3.0,clock
07016156.wav,Keble College clock striking four o'clock.,53,,EC36Q,"Keble College Clock, Oxford ",7,3.0,clock
07016157.wav,Keble College clock striking five o'clock.,56,,EC36Q,"Keble College Clock, Oxford ",8,3.0,clock
07016158.wav,Keble College clock striking six o'clock.,59,,EC36Q,"Keble College Clock, Oxford ",9,3.0,clock
07016159.wav,Keble College clock striking seven o'clock.,61,,EC36Q,"Keble College Clock, Oxford ",10,3.0,clock
07016160.wav,Keble College clock striking eight o'clock.,64,,EC36Q,"Keble College Clock, Oxford ",11,3.0,clock
07016161.wav,Keble College clock striking nine o'clock.,64,,EC36R,"Caius College Clock, Cambridge",1,3.0,clock
07016162.wav,Keble College clock striking ten o'clock.,68,,EC36R,"Caius College Clock, Cambridge",2,3.0,clock
07016163.wav,Keble College clock striking eleven o'clock.,70,,EC36R,"Caius College Clock, Cambridge",3,3.0,clock
07016164.wav,Keble College clock striking twelve o'clock.,72,,EC36R,"Caius College Clock, Cambridge",4,3.0,clock
07016165.wav,Caius College clock striking quarter past the hour.,17,,EC36R,"Caius College Clock, Cambridge",5,3.0,clock
07016166.wav,Caius College clock striking half past the hour.,19,,EC36R,"Caius College Clock, Cambridge",6,3.0,clock
07016167.wav,Caius College clock striking quarter to the hour.,19,,EC36R,"Caius College Clock, Cambridge",7,3.0,clock
07016168.wav,Caius College clock striking one o'clock.,27,,EC36R,"Caius College Clock, Cambridge",8,3.0,clock
07016169.wav,Caius College clock striking two o'clock.,27,,EC36R,"Caius College Clock, Cambridge",9,3.0,clock
07016170.wav,Caius College clock striking three o'clock.,31,,EC36R,"Caius College Clock, Cambridge",10,3.0,clock
07016171.wav,Caius College clock striking four o'clock.,35,,EC36S,Cambridge Clocks,1,3.0,clock
07016172.wav,Caius College clock striking five o'clock.,35,,EC36S,Cambridge Clocks,2,3.0,clock
07016173.wav,Caius College clock striking six o'clock.,38,,EC36S,Cambridge Clocks,3,3.0,clock
07016218.wav,New College clock striking nine o'clock.,54,,EC36V,"New College Clock, Oxford",12,3.0,clock
07016175.wav,Caius College clock striking eight o'clock.,42,,EC36S,Cambridge Clocks,5,3.0,clock
07016176.wav,Caius College clock striking nine o'clock.,45,,EC36S,Cambridge Clocks,6,3.0,clock
07016177.wav,Caius College clock striking ten o'clock.,47,,EC36S,Cambridge Clocks,7,3.0,clock
07016178.wav,Caius College clock striking eleven o'clock.,50,,EC36S,Cambridge Clocks,8,3.0,clock
07016179.wav,Caius College clock striking twelve o'clock.,55,,EC36S,Cambridge Clocks,9,3.0,clock
07016152.wav,Keble College clock striking quarter to the hour.,19,,EC36Q,"Keble College Clock, Oxford ",3,3.0,clock
07016151.wav,Keble College clock striking half past the hour.,23,,EC36Q,"Keble College Clock, Oxford ",2,3.0,clock
07016150.wav,Keble College clock striking quarter past the hour.,24,,EC36Q,"Keble College Clock, Oxford ",1,3.0,clock
07016149.wav,Wadham College clock striking nine o'clock.,19,,EC36P,"Wadham College Clock, Oxford",12,3.0,clock
07016121.wav,Jesus College clock striking five o'clock.,18,,EC36M,"Jesus College Clock, Oxford",8,3.0,clock
07016122.wav,Jesus College clock striking six o'clock.,20,,EC36M,"Jesus College Clock, Oxford",9,3.0,clock
07016123.wav,Jesus College clock striking seven o'clock.,22,,EC36M,"Jesus College Clock, Oxford",10,3.0,clock
07016124.wav,Jesus College clock striking eight o'clock.,25,,EC36M,"Jesus College Clock, Oxford",11,3.0,clock
07016125.wav,Jesus College clock striking nine o'clock.,27,,EC36M,"Jesus College Clock, Oxford",12,3.0,clock
07016126.wav,Lincoln College clock striking ten o'clock.,30,,EC36N,"Lincoln College Clock, Oxford",1,3.0,clock
07016127.wav,Lincoln College clock striking eleven o'clock.,32,,EC36N,"Lincoln College Clock, Oxford",2,3.0,clock
07016128.wav,Lincoln College clock striking twelve o'clock.,33,,EC36N,"Lincoln College Clock, Oxford",3,3.0,clock
07016129.wav,Lincoln College clock striking one o'clock.,11,,EC36N,"Lincoln College Clock, Oxford",4,3.0,clock
07016130.wav,Lincoln College clock striking two o'clock.,14,,EC36N,"Lincoln College Clock, Oxford",5,3.0,clock
07016131.wav,Lincoln College clock striking three o'clock.,16,,EC36N,"Lincoln College Clock, Oxford",6,3.0,clock
07016132.wav,Lincoln College clock striking four o'clock.,18,,EC36N,"Lincoln College Clock, Oxford",7,3.0,clock
07016133.wav,Lincoln College clock striking five o'clock.,19,,EC36N,"Lincoln College Clock, Oxford",8,3.0,clock
07016181.wav,Trinity & St John's College clock striking half past the hour. (Trinity clock strikes a second time for St. John's College.),22,,EC36S,Cambridge Clocks,11,3.0,clock
07016134.wav,Lincoln College clock striking six o'clock.,22,,EC36N,"Lincoln College Clock, Oxford",9,3.0,clock
07016136.wav,Lincoln College clock striking eight o'clock.,25,,EC36N,"Lincoln College Clock, Oxford",11,3.0,clock
07016137.wav,Lincoln College clock striking nine o'clock.,27,,EC36N,"Lincoln College Clock, Oxford",12,3.0,clock
07016138.wav,Wadham College clock striking ten o'clock.,20,,EC36P,"Wadham College Clock, Oxford",1,3.0,clock
07016139.wav,Wadham College clock striking eleven o'clock.,20,,EC36P,"Wadham College Clock, Oxford",2,3.0,clock
07016140.wav,Wadham College clock striking twelve o'clock.,22,,EC36P,"Wadham College Clock, Oxford",3,3.0,clock
07016141.wav,Wadham College clock striking one o'clock.,11,,EC36P,"Wadham College Clock, Oxford",4,3.0,clock
07016142.wav,Wadham College clock striking two o'clock.,12,,EC36P,"Wadham College Clock, Oxford",5,3.0,clock
07016143.wav,Wadham College clock striking three o'clock.,13,,EC36P,"Wadham College Clock, Oxford",6,3.0,clock
07016144.wav,Wadham College clock striking four o'clock.,14,,EC36P,"Wadham College Clock, Oxford",7,3.0,clock
07016145.wav,Wadham College clock striking five o'clock.,14,,EC36P,"Wadham College Clock, Oxford",8,3.0,clock
07016146.wav,Wadham College clock striking six o'clock.,16,,EC36P,"Wadham College Clock, Oxford",9,3.0,clock
07016147.wav,Wadham College clock striking seven o'clock.,17,,EC36P,"Wadham College Clock, Oxford",10,3.0,clock
07016148.wav,Wadham College clock striking eight o'clock.,17,,EC36P,"Wadham College Clock, Oxford",11,3.0,clock
07016135.wav,Lincoln College clock striking seven o'clock.,23,,EC36N,"Lincoln College Clock, Oxford",10,3.0,clock
07016219.wav,New College clock striking ten o'clock.,56,,EC36W,"Christchurch College Clock, Oxford",1,3.0,clock
07016230.wav,Christchurch College clock striking nine o'clock.,55,,EC36X,"Christchurch College Clock, Oxford",1,3.0,clock
07016221.wav,New College clock striking twelve o'clock.,61,,EC36W,"Christchurch College Clock, Oxford",3,3.0,clock
