location,description,secs,category,CDNumber,CDName,tracknum,clusterLabel,clusterName,FrequencyCutoff,FrequencyCutoff90,FrequencyCutoff95,FrequencyCutoff99
07036181.wav,"Domestic Mantle Clock striking five o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",51,,EC209B,Domestic Clock,11,3.0,clock,11714.0625,8699.4140625,10120.60546875,11714.0625
07016184.wav,Trinity & St John's College clock striking two o'clock. (Trinity clock strikes a second time for St. John's College.),35,,EC36T,"Trinity & St. John’S College Clock, Cambridge",2,3.0,clock,3962.109375,2282.51953125,2928.515625,3962.109375
07016185.wav,Trinity & St John's College clock striking three o'clock. (Trinity clock strikes a second time for St. John's College.),36,,EC36T,"Trinity & St. John’S College Clock, Cambridge",3,3.0,clock,3962.109375,2282.51953125,2928.515625,3962.109375
07036203.wav,"Grandfather Clock with St Michael's chimes, striking twelve o'clock.",66,,EC209D,Domestic Clock,9,3.0,clock,6029.296875,3488.37890625,3962.109375,6029.296875
07036202.wav,"Grandfather Clock with St Michael's chimes, striking eleven o'clock.",61,,EC209D,Domestic Clock,8,3.0,clock,5943.1640625,3445.3125,3832.91015625,5943.1640625
07036201.wav,"Grandfather Clock with St Michael's chimes, striking ten o'clock.",59,,EC209D,Domestic Clock,7,3.0,clock,5727.83203125,3746.77734375,3832.91015625,5727.83203125
07036200.wav,"Grandfather Clock with St Michael's chimes, striking nine o'clock.",57,,EC209D,Domestic Clock,6,3.0,clock,5727.83203125,3445.3125,3789.84375,5727.83203125
07036199.wav,"Grandfather Clock with St Michael's chimes, striking eight o'clock.",54,,EC209D,Domestic Clock,5,3.0,clock,5727.83203125,3445.3125,4048.2421875,5727.83203125
07036198.wav,"Grandfather Clock with St Michael's chimes, striking seven o'clock.",50,,EC209D,Domestic Clock,4,3.0,clock,5469.43359375,3359.1796875,3832.91015625,5469.43359375
07036197.wav,"Grandfather Clock with St Michael's chimes, striking six o'clock.",48,,EC209D,Domestic Clock,3,3.0,clock,5081.8359375,2971.58203125,3746.77734375,5081.8359375
07036196.wav,"Grandfather Clock with St Michael's chimes, striking five o'clock.",45,,EC209D,Domestic Clock,2,3.0,clock,5038.76953125,2971.58203125,3789.84375,5038.76953125
07036195.wav,"Grandfather Clock with St Michael's chimes, striking four o'clock.",42,,EC209D,Domestic Clock,1,3.0,clock,5038.76953125,3014.6484375,3746.77734375,5038.76953125
07036180.wav,"Domestic Mantle Clock striking four o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",47,,EC209B,Domestic Clock,10,3.0,clock,12015.52734375,8699.4140625,10120.60546875,12015.52734375
07036194.wav,"Grandfather Clock with St Michael's chimes, striking three o'clock.",39,,EC209C,Domestic Clock,12,3.0,clock,5167.96875,3229.98046875,3789.84375,5167.96875
07036192.wav,"Grandfather Clock with St Michael's chimes, striking one o'clock.",34,,EC209C,Domestic Clock,10,3.0,clock,4952.63671875,2842.3828125,3531.4453125,4952.63671875
07036191.wav,"Grandfather Clock with St Michael's chimes, striking quarter to the hour.",30,,EC209C,Domestic Clock,9,3.0,clock,4952.63671875,2799.31640625,3488.37890625,4952.63671875
07036190.wav,"Grandfather Clock with St Michael's chimes, striking half past the hour.",21,,EC209C,Domestic Clock,8,3.0,clock,4909.5703125,2756.25,3445.3125,4909.5703125
07036189.wav,"Grandfather Clock with St Michael's chimes, striking quarter past the hour.",16,,EC209C,Domestic Clock,7,3.0,clock,4952.63671875,2756.25,3445.3125,4952.63671875
07036188.wav,"Domestic Mantle Clock striking twelve o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",64,,EC209C,Domestic Clock,6,3.0,clock,13006.0546875,10077.5390625,10163.671875,13006.0546875
07036170.wav,"Domestic Mantle Clock striking nine o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",60,,EC209A,Domestic Clock,12,3.0,clock,11541.796875,8570.21484375,9560.7421875,11541.796875
07036186.wav,"Domestic Mantle Clock striking ten o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",62,,EC209C,Domestic Clock,4,3.0,clock,12833.7890625,10077.5390625,10163.671875,12833.7890625
07036185.wav,"Domestic Mantle Clock striking nine o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",58,,EC209C,Domestic Clock,3,3.0,clock,13006.0546875,10077.5390625,10163.671875,13006.0546875
07036184.wav,"Domestic Mantle Clock striking eight o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",56,,EC209C,Domestic Clock,2,3.0,clock,13006.0546875,9948.33984375,10163.671875,13006.0546875
07036183.wav,"Domestic Mantle Clock striking seven o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",52,,EC209C,Domestic Clock,1,3.0,clock,12790.72265625,8699.4140625,10120.60546875,12790.72265625
07036182.wav,"Domestic Mantle Clock striking six o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",54,,EC209B,Domestic Clock,12,3.0,clock,11670.99609375,8656.34765625,10120.60546875,11670.99609375
07036193.wav,"Grandfather Clock with St Michael's chimes, striking two o'clock.",40,,EC209C,Domestic Clock,11,3.0,clock,4995.703125,2885.44921875,3574.51171875,4995.703125
07036169.wav,"Domestic Mantle Clock striking eight o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",56,,EC209A,Domestic Clock,11,3.0,clock,11498.73046875,8225.68359375,9474.609375,11498.73046875
07022176.wav,"Grandfather clock striking ten o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",47,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",4,3.0,clock,8053.41796875,5211.03515625,5297.16796875,8053.41796875
07036167.wav,"Domestic Mantle Clock striking six o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",52,,EC209A,Domestic Clock,9,3.0,clock,11498.73046875,8225.68359375,9474.609375,11498.73046875
07049101.wav,"St. Marie Church bells, church clock strikes 12",36,Churches: Bells: France,ECD050,France - Paris,10,3.0,clock,2928.515625,645.99609375,1593.45703125,2928.515625
07022062.wav,Domestic clock striking eleven o'clock. (Mid-perspective recording of domestic clock with bell.),28,,EC48F,Domestic Clock (Bell: Mid-Perspective),2,3.0,clock,10206.73828125,7062.890625,8225.68359375,10206.73828125
07016198.wav,Balliol College clock striking four o'clock.,21,,EC36U,"Balliol College Clock, Oxford",4,3.0,clock,3186.9140625,2368.65234375,2368.65234375,3186.9140625
07016199.wav,Balliol College clock striking five o'clock.,24,,EC36U,"Balliol College Clock, Oxford",5,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07016200.wav,Balliol College clock striking six o'clock.,25,,EC36U,"Balliol College Clock, Oxford",6,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07022063.wav,Domestic clock striking twelve o'clock. (Mid-perspective recording of domestic clock with bell.),30,,EC48F,Domestic Clock (Bell: Mid-Perspective),3,3.0,clock,10163.671875,6589.16015625,8225.68359375,10163.671875
07016201.wav,Balliol College clock striking seven o'clock.,27,,EC36U,"Balliol College Clock, Oxford",7,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07016202.wav,Balliol College clock striking eight o'clock.,29,,EC36U,"Balliol College Clock, Oxford",8,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07016203.wav,Balliol College clock striking nine o'clock.,30,,EC36U,"Balliol College Clock, Oxford",9,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07016204.wav,Balliol College clock striking ten o'clock.,34,,EC36U,"Balliol College Clock, Oxford",10,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07016205.wav,Balliol College clock striking eleven o'clock.,36,,EC36U,"Balliol College Clock, Oxford",11,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07016206.wav,Balliol College clock striking twelve o'clock.,38,,EC36U,"Balliol College Clock, Oxford",12,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07016207.wav,New College clock striking quarter past the hour.,19,,EC36V,"New College Clock, Oxford",1,3.0,clock,2713.18359375,1033.59375,2153.3203125,2713.18359375
07016208.wav,New College clock striking half past the hour.,22,,EC36V,"New College Clock, Oxford",2,3.0,clock,2885.44921875,1248.92578125,2153.3203125,2885.44921875
07016209.wav,New College clock striking quarter to the hour.,25,,EC36V,"New College Clock, Oxford",3,3.0,clock,2885.44921875,1248.92578125,1765.72265625,2885.44921875
07016210.wav,New College clock striking one o'clock.,35,,EC36V,"New College Clock, Oxford",4,3.0,clock,2928.515625,1248.92578125,1851.85546875,2928.515625
07016211.wav,New College clock striking two o'clock.,41,,EC36V,"New College Clock, Oxford",5,3.0,clock,2799.31640625,1205.859375,1593.45703125,2799.31640625
07016212.wav,New College clock striking three o'clock.,43,,EC36V,"New College Clock, Oxford",6,3.0,clock,2670.1171875,1205.859375,1593.45703125,2670.1171875
07016213.wav,New College clock striking four o'clock.,45,,EC36V,"New College Clock, Oxford",7,3.0,clock,2713.18359375,1205.859375,1593.45703125,2713.18359375
07016214.wav,New College clock striking five o'clock.,47,,EC36V,"New College Clock, Oxford",8,3.0,clock,2670.1171875,1205.859375,1593.45703125,2670.1171875
07016215.wav,New College clock striking six o'clock.,49,,EC36V,"New College Clock, Oxford",9,3.0,clock,2540.91796875,1205.859375,1593.45703125,2540.91796875
07016216.wav,New College clock striking seven o'clock.,52,,EC36V,"New College Clock, Oxford",10,3.0,clock,2497.8515625,1205.859375,1593.45703125,2497.8515625
07016217.wav,New College clock striking eight o'clock.,54,,EC36V,"New College Clock, Oxford",11,3.0,clock,2540.91796875,1205.859375,1593.45703125,2540.91796875
07022061.wav,Domestic clock striking ten o'clock. (Mid-perspective recording of domestic clock with bell.),27,,EC48F,Domestic Clock (Bell: Mid-Perspective),1,3.0,clock,10163.671875,6503.02734375,8225.68359375,10163.671875
07036168.wav,"Domestic Mantle Clock striking seven o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",56,,EC209A,Domestic Clock,10,3.0,clock,11541.796875,8268.75,9517.67578125,11541.796875
07022060.wav,Domestic clock striking nine o'clock. (Domestic clock with bell.),22,,EC48E,Domestic Clock (Bell),12,3.0,clock,6287.6953125,1636.5234375,2971.58203125,6287.6953125
07016196.wav,Balliol College clock striking two o'clock.,16,,EC36U,"Balliol College Clock, Oxford",2,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07036166.wav,"Domestic Mantle Clock striking five o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",50,,EC209A,Domestic Clock,8,3.0,clock,11541.796875,8570.21484375,9560.7421875,11541.796875
07036165.wav,"Domestic Mantle Clock striking four o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",47,,EC209A,Domestic Clock,7,3.0,clock,11498.73046875,8225.68359375,9431.54296875,11498.73046875
07036164.wav,"Domestic Mantle Clock striking three o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",43,,EC209A,Domestic Clock,6,3.0,clock,11498.73046875,8570.21484375,9560.7421875,11498.73046875
07036163.wav,"Domestic Mantle Clock striking two o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",42,,EC209A,Domestic Clock,5,3.0,clock,11369.53125,8225.68359375,9431.54296875,11369.53125
07036162.wav,"Domestic Mantle Clock striking one o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",43,,EC209A,Domestic Clock,4,3.0,clock,11541.796875,8613.28125,9560.7421875,11541.796875
07036161.wav,"Domestic Mantle Clock striking quarter to the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",23,,EC209A,Domestic Clock,3,3.0,clock,12273.92578125,8613.28125,9560.7421875,12273.92578125
07036160.wav,"Domestic Mantle Clock striking half past the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",19,,EC209A,Domestic Clock,2,3.0,clock,11498.73046875,8613.28125,9560.7421875,11498.73046875
07016186.wav,Trinity & St John's College clock striking four o'clock. (Trinity clock strikes a second time for St. John's College.),40,,EC36T,"Trinity & St. John’S College Clock, Cambridge",4,3.0,clock,3746.77734375,2239.453125,2885.44921875,3746.77734375
07036159.wav,"Domestic Mantle Clock striking quarter past the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",16,,EC209A,Domestic Clock,1,3.0,clock,13350.5859375,8699.4140625,9560.7421875,13350.5859375
07016183.wav,Trinity & St John's College clock striking one o'clock. (Trinity clock strikes a second time for St. John's College.),30,,EC36T,"Trinity & St. John’S College Clock, Cambridge",1,3.0,clock,3962.109375,2885.44921875,3186.9140625,3962.109375
07022056.wav,Domestic clock striking five o'clock. (Domestic clock with bell.),17,,EC48E,Domestic Clock (Bell),8,3.0,clock,6459.9609375,1937.98828125,3832.91015625,6459.9609375
07022057.wav,Domestic clock striking six o'clock. (Domestic clock with bell.),17,,EC48E,Domestic Clock (Bell),9,3.0,clock,6459.9609375,1679.58984375,3660.64453125,6459.9609375
07022058.wav,Domestic clock striking seven o'clock. (Domestic clock with bell.),20,,EC48E,Domestic Clock (Bell),10,3.0,clock,6459.9609375,1679.58984375,3660.64453125,6459.9609375
07016187.wav,Trinity & St John's College clock striking five o'clock. (Trinity clock strikes a second time for St. John's College.),44,,EC36T,"Trinity & St. John’S College Clock, Cambridge",5,3.0,clock,3660.64453125,2239.453125,2842.3828125,3660.64453125
07016188.wav,Trinity & St John's College clock striking six o'clock. (Trinity clock strikes a second time for St. John's College.),45,,EC36T,"Trinity & St. John’S College Clock, Cambridge",6,3.0,clock,3660.64453125,2239.453125,2842.3828125,3660.64453125
07016189.wav,Trinity & St John's College clock striking seven o'clock. (Trinity clock strikes a second time for St. John's College.),49,,EC36T,"Trinity & St. John’S College Clock, Cambridge",7,3.0,clock,3660.64453125,2239.453125,2842.3828125,3660.64453125
07016190.wav,Trinity & St John's College clock striking eight o'clock. (Trinity clock strikes a second time for St. John's College.),51,,EC36T,"Trinity & St. John’S College Clock, Cambridge",8,3.0,clock,3660.64453125,2239.453125,2842.3828125,3660.64453125
07016191.wav,Trinity & St John's College clock striking nine o'clock. (Trinity clock strikes a second time for St. John's College.),55,,EC36T,"Trinity & St. John’S College Clock, Cambridge",9,3.0,clock,3660.64453125,2239.453125,2842.3828125,3660.64453125
07016192.wav,Trinity & St John's College clock striking ten o'clock. (Trinity clock strikes a second time for St. John's College.),57,,EC36T,"Trinity & St. John’S College Clock, Cambridge",10,3.0,clock,3660.64453125,2239.453125,2842.3828125,3660.64453125
07016193.wav,Trinity & St John's College clock striking eleven o'clock. (Trinity clock strikes a second time for St. John's College.),61,,EC36T,"Trinity & St. John’S College Clock, Cambridge",11,3.0,clock,3617.578125,2196.38671875,2842.3828125,3617.578125
07016194.wav,Trinity & St John's College clock striking twelve o'clock. (Trinity clock strikes a second time for St. John's College.),65,,EC36T,"Trinity & St. John’S College Clock, Cambridge",12,3.0,clock,3617.578125,2196.38671875,2799.31640625,3617.578125
07016195.wav,Balliol College clock striking one o'clock.,14,,EC36U,"Balliol College Clock, Oxford",1,3.0,clock,3229.98046875,2368.65234375,2411.71875,3229.98046875
07022059.wav,Domestic clock striking eight o'clock. (Domestic clock with bell.),21,,EC48E,Domestic Clock (Bell),11,3.0,clock,6287.6953125,1636.5234375,2971.58203125,6287.6953125
07016197.wav,Balliol College clock striking three o'clock.,20,,EC36U,"Balliol College Clock, Oxford",3,3.0,clock,3229.98046875,2368.65234375,2368.65234375,3229.98046875
07016182.wav,Trinity & St John's College clock striking quarter to the hour. (Trinity clock strikes a second time for St. John's College.),21,,EC36S,Cambridge Clocks,12,3.0,clock,3919.04296875,2842.3828125,2885.44921875,3919.04296875
07016174.wav,Caius College clock striking seven o'clock.,40,,EC36S,Cambridge Clocks,4,3.0,clock,1593.45703125,1378.125,1421.19140625,1593.45703125
07016180.wav,Trinity & St John's College clock striking quarter past the hour. (Trinity clock strikes a second time for St. John's College.),20,,EC36S,Cambridge Clocks,10,3.0,clock,3919.04296875,2885.44921875,2928.515625,3919.04296875
07002243.wav,Osterley House Clock striking 5 o'clock,18,,EC105T,Osterley House Clock,5,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002244.wav,Osterley House Clock striking 6 o'clock,20,,EC105T,Osterley House Clock,6,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002246.wav,Osterley House Clock striking 8 o'clock,25,,EC105T,Osterley House Clock,8,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002247.wav,Osterley House Clock striking 9 o'clock,27,,EC105T,Osterley House Clock,9,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002248.wav,Osterley House Clock striking 10 o'clock,30,,EC105T,Osterley House Clock,10,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002249.wav,Osterley House Clock striking 11 o'clock,33,,EC105T,Osterley House Clock,11,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002250.wav,Osterley House Clock striking 12 o'clock,36,,EC105T,Osterley House Clock,12,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002251.wav,"Church clock striking, 1 o'clock. (St. John the Evangelist)",11,,EC105V,Outdoor Clock,1,3.0,clock,2239.453125,1248.92578125,1722.65625,2239.453125
07002252.wav,"Church clock striking, 2 o'clock. (St. John the Evangelist)",12,,EC105V,Outdoor Clock,2,3.0,clock,2239.453125,1076.66015625,1291.9921875,2239.453125
07002253.wav,"Church clock striking, 3 o'clock. (St. John the Evangelist)",13,,EC105V,Outdoor Clock,3,3.0,clock,2411.71875,1076.66015625,1378.125,2411.71875
07002254.wav,"Church clock striking, 4 o'clock. (St. John the Evangelist)",15,,EC105V,Outdoor Clock,4,3.0,clock,2368.65234375,1119.7265625,1679.58984375,2368.65234375
07002255.wav,"Church clock striking, 5 o'clock. (St. John the Evangelist)",16,,EC105V,Outdoor Clock,5,3.0,clock,2454.78515625,1119.7265625,1722.65625,2454.78515625
07002256.wav,"Church clock striking, 6 o'clock. (St. John the Evangelist)",17,,EC105V,Outdoor Clock,6,3.0,clock,2497.8515625,1119.7265625,1722.65625,2497.8515625
07002257.wav,"Church clock striking, 7 o'clock. (St. John the Evangelist)",20,,EC105V,Outdoor Clock,7,3.0,clock,2497.8515625,1248.92578125,1722.65625,2497.8515625
07002258.wav,"Church clock striking, 8 o'clock. (St. John the Evangelist)",21,,EC105V,Outdoor Clock,8,3.0,clock,2713.18359375,1248.92578125,1722.65625,2713.18359375
07002259.wav,"Church clock striking, 9 o'clock. (St. John the Evangelist)",23,,EC105V,Outdoor Clock,9,3.0,clock,2713.18359375,1248.92578125,1722.65625,2713.18359375
07002260.wav,"Church clock striking, 10 o'clock. (St. John the Evangelist)",25,,EC105V,Outdoor Clock,10,3.0,clock,2713.18359375,1205.859375,1722.65625,2713.18359375
07002261.wav,"Church clock striking, 11 o'clock. (St. John the Evangelist)",28,,EC105V,Outdoor Clock,11,3.0,clock,2756.25,1248.92578125,1722.65625,2756.25
07002262.wav,"Church clock striking, 12 o'clock. (St. John the Evangelist)",30,,EC105V,Outdoor Clock,12,3.0,clock,2756.25,1162.79296875,1722.65625,2756.25
07002263.wav,"Church clock striking, 1 o'clock. (All Saints Church)",9,,EC105W,Outdoor Clock,1,3.0,clock,3186.9140625,2928.515625,2928.515625,3186.9140625
07002264.wav,"Church clock striking, 2 o'clock. (All Saints Church)",13,,EC105W,Outdoor Clock,2,3.0,clock,3531.4453125,2583.984375,2928.515625,3531.4453125
07002265.wav,"Church clock striking, 3 o'clock. (All Saints Church)",15,,EC105W,Outdoor Clock,3,3.0,clock,3531.4453125,2540.91796875,2928.515625,3531.4453125
07002266.wav,"Church clock striking, 4 o'clock. (All Saints Church)",17,,EC105W,Outdoor Clock,4,3.0,clock,3531.4453125,2627.05078125,2928.515625,3531.4453125
07002267.wav,"Church clock striking, 5 o'clock. (All Saints Church)",18,,EC105W,Outdoor Clock,5,3.0,clock,3531.4453125,2713.18359375,2928.515625,3531.4453125
07002268.wav,"Church clock striking, 6 o'clock. (All Saints Church)",19,,EC105W,Outdoor Clock,6,3.0,clock,3531.4453125,2583.984375,2928.515625,3531.4453125
07002269.wav,"Church clock striking, 7 o'clock. (All Saints Church)",23,,EC105W,Outdoor Clock,7,3.0,clock,3531.4453125,2540.91796875,2928.515625,3531.4453125
07002270.wav,"Church clock striking, 8 o'clock. (All Saints Church)",24,,EC105W,Outdoor Clock,8,3.0,clock,3531.4453125,2713.18359375,2928.515625,3531.4453125
07002242.wav,Osterley House Clock striking 4 o'clock,16,,EC105T,Osterley House Clock,4,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002271.wav,"Church clock striking, 9 o'clock. (All Saints Church)",26,,EC105W,Outdoor Clock,9,3.0,clock,3531.4453125,2756.25,2928.515625,3531.4453125
07002241.wav,Osterley House Clock striking 3 o'clock,13,,EC105T,Osterley House Clock,3,3.0,clock,4737.3046875,3832.91015625,3832.91015625,4737.3046875
07002239.wav,"Osterley House Clock striking, 1 o'clock",8,,EC105T,Osterley House Clock,1,3.0,clock,4091.30859375,3875.9765625,3875.9765625,4091.30859375
07002214.wav,"Outdoor clock striking, chimes & 4 o'clock  SS. Peter & Paul ",49,,EC105Q,Outdoor Clock,7,3.0,clock,2842.3828125,1593.45703125,1981.0546875,2842.3828125
07002215.wav,"Outdoor clock striking, chimes & 5 o'clock  SS. Peter & Paul ",54,,EC105Q,Outdoor Clock,8,3.0,clock,2842.3828125,1593.45703125,1981.0546875,2842.3828125
07002216.wav,"Outdoor clock striking, chimes & 6 o'clock  SS. Peter & Paul ",56,,EC105Q,Outdoor Clock,9,3.0,clock,2842.3828125,1593.45703125,1981.0546875,2842.3828125
07016118.wav,Jesus College clock striking two o'clock.,13,,EC36M,"Jesus College Clock, Oxford",5,3.0,clock,4091.30859375,3014.6484375,3014.6484375,4091.30859375
07002217.wav,"Outdoor clock striking, chimes & 7 o'clock  SS. Peter & Paul ",58,,EC105Q,Outdoor Clock,10,3.0,clock,2799.31640625,1593.45703125,1981.0546875,2799.31640625
07016119.wav,Jesus College clock striking three o'clock.,14,,EC36M,"Jesus College Clock, Oxford",6,3.0,clock,4091.30859375,2971.58203125,3014.6484375,4091.30859375
07002218.wav,"Outdoor clock striking, chimes & 8 o'clock  SS. Peter & Paul ",60,,EC105Q,Outdoor Clock,11,3.0,clock,2799.31640625,1593.45703125,1981.0546875,2799.31640625
07016120.wav,Jesus College clock striking four o'clock.,16,,EC36M,"Jesus College Clock, Oxford",7,3.0,clock,4134.375,3014.6484375,3014.6484375,4134.375
07002219.wav,"Outdoor clock striking, 9 o'clock - SS. Peter & Paul ",65,,EC105R,"Anne Boleyn's Clock, Hampton Court",1,3.0,clock,2756.25,1550.390625,1937.98828125,2756.25
07002220.wav,"Outdoor clock striking, 10 o'clock - SS. Peter & Paul",68,,EC105R,"Anne Boleyn's Clock, Hampton Court",2,3.0,clock,2756.25,1550.390625,1937.98828125,2756.25
07002221.wav,"Outdoor clock striking, 11 o'clock - SS. Peter & Paul",73,,EC105R,"Anne Boleyn's Clock, Hampton Court",3,3.0,clock,2756.25,1550.390625,1937.98828125,2756.25
07002222.wav,"Outdoor clock striking, 12 o'clock - SS. Peter & Paul",79,,EC105R,"Anne Boleyn's Clock, Hampton Court",4,3.0,clock,2756.25,1593.45703125,1937.98828125,2756.25
07002223.wav,Anne Boleyn's Clock striking half-hour,16,,EC105R,"Anne Boleyn's Clock, Hampton Court",5,3.0,clock,3316.11328125,1593.45703125,1636.5234375,3316.11328125
07002224.wav,Anne Boleyn's Clock striking quarter-hour,17,,EC105R,"Anne Boleyn's Clock, Hampton Court",6,3.0,clock,3273.046875,1593.45703125,1636.5234375,3273.046875
07002225.wav,Anne Boleyn's Clock striking three-quarters,20,,EC105R,"Anne Boleyn's Clock, Hampton Court",7,3.0,clock,3359.1796875,1593.45703125,1636.5234375,3359.1796875
07002226.wav,Anne Boleyn's Clock chimes & 1 o'clock,22,,EC105R,"Anne Boleyn's Clock, Hampton Court",8,3.0,clock,3273.046875,1593.45703125,1636.5234375,3273.046875
07002227.wav,Anne Boleyn's Clock chimes & 2 o'clock,27,,EC105R,"Anne Boleyn's Clock, Hampton Court",9,3.0,clock,3273.046875,1593.45703125,1636.5234375,3273.046875
07002228.wav,Anne Boleyn's Clock chimes & 3 o'clock,31,,EC105R,"Anne Boleyn's Clock, Hampton Court",10,3.0,clock,3273.046875,1593.45703125,1636.5234375,3273.046875
07002229.wav,"Anne Boleyn's Clock, chimes & 4 o'clock",33,,EC105S,"Anne Boleyn's Clock, Hampton Court",1,3.0,clock,3273.046875,1593.45703125,1636.5234375,3273.046875
07002230.wav,"Anne Boleyn's Clock, chimes & 5 o'clock",33,,EC105S,"Anne Boleyn's Clock, Hampton Court",2,3.0,clock,3229.98046875,1593.45703125,1636.5234375,3229.98046875
07002231.wav,"Anne Boleyn's Clock, chimes & 6 o'clock",37,,EC105S,"Anne Boleyn's Clock, Hampton Court",3,3.0,clock,3229.98046875,1593.45703125,1636.5234375,3229.98046875
07002232.wav,"Anne Boleyn's Clock, chimes & 7 o'clock",41,,EC105S,"Anne Boleyn's Clock, Hampton Court",4,3.0,clock,3229.98046875,1593.45703125,1636.5234375,3229.98046875
