location,description,secs,category,CDNumber,CDName,tracknum
07074232.wav,"Electronic - printing and bleeps on cash register - 1982 (2R1,reprocessed)",33,Cash Registers,ECD085,Interiors - Shops and Cash Registers,44
07074231.wav,"Electronic NCR - addition, empty drawer opened and closed - 1982 (2R1,reprocessed)",8,Cash Registers,ECD085,Interiors - Shops and Cash Registers,43
07074230.wav,"Electronic NCR - addition, drawer open, money removed - 1982 (2R1,reprocessed)",14,Cash Registers,ECD085,Interiors - Shops and Cash Registers,42
07074229.wav,"Electronic NCR - bleeps without printer - 1982 (2R1,reprocessed)",7,Cash Registers,ECD085,Interiors - Shops and Cash Registers,41
07074228.wav,"Electronic NCR - change calculation - 1982 (2R1,reprocessed)",5,Cash Registers,ECD085,Interiors - Shops and Cash Registers,40
07074227.wav,"Electronic NCR - entry error - 1982 (2R1,reprocessed)",4,Cash Registers,ECD085,Interiors - Shops and Cash Registers,39
07074226.wav,"Electronic NCR - drawer closed - 1982 (2R1,reprocessed)",2,Cash Registers,ECD085,Interiors - Shops and Cash Registers,38
07074225.wav,"Electronic NCR - adding in mixed amounts - 1982 (2R1,reprocessed)",21,Cash Registers,ECD085,Interiors - Shops and Cash Registers,37
07074224.wav,"Electronic NCR - adding in amounts of less than one pound - 1982 (2R1,reprocessed)",15,Cash Registers,ECD085,Interiors - Shops and Cash Registers,36
07074223.wav,"Monroe-Sweda - keyboard operated, ticket produced, drawer opens, change given, drawer opens (twice) - 1969 (23Z,reprocessed)",53,Cash Registers,ECD085,Interiors - Shops and Cash Registers,35
07074222.wav,"Class Fifty One Machine - keyboard operated, drawer opens, bell, change given, drawer closes, in betting office - 1969 (23Z,reprocessed)",12,Cash Registers,ECD085,Interiors - Shops and Cash Registers,34
07074221.wav,"Class Three Machine (supermarket) - resetting machine - 1969 (23Z,reprocessed)",8,Cash Registers,ECD085,Interiors - Shops and Cash Registers,33
07074220.wav,"Class Three Machine (supermarket) - keyboard operated, ticket produced, drawer opens, bell, change given, drawer closes (three times) - 1969 (23Z,reprocessed)",56,Cash Registers,ECD085,Interiors - Shops and Cash Registers,32
07074219.wav,"Itemizing Machine - resetting machine - 1969 (23Z,reprocessed)",10,Cash Registers,ECD085,Interiors - Shops and Cash Registers,31
07074218.wav,"Itemizing Machine - keyboard operated, drawer opens, bell, change given, drawer closes (three times) - 1969 (23Z,reprocessed)",51,Cash Registers,ECD085,Interiors - Shops and Cash Registers,30
07074217.wav,"Type Ninety-Six Five - keyboard operated, ticket produced, drawer opens, bell, change given, coins put in drawer and closed - 1969 (23Z,reprocessed)",24,Cash Registers,ECD085,Interiors - Shops and Cash Registers,29
07074216.wav,"Type Ninety-Six One - keyboard operated, ticket produced, drawer closed (totting up) - 1969 (23Z,reprocessed)",15,Cash Registers,ECD085,Interiors - Shops and Cash Registers,28
07074215.wav,"Type Ninety-Six One - keyboard operated, ticket produced, drawer opens, bell, change given, coins put in drawer and closed - 1969 (23Z,reprocessed)",21,Cash Registers,ECD085,Interiors - Shops and Cash Registers,27
07074214.wav,"Class One Hundred - opened, keyboard operated, closed - 1969 (23Z,reprocessed)",14,Cash Registers,ECD085,Interiors - Shops and Cash Registers,26
07074213.wav,"Class One Hundred - keyboard operated, bell, change given, coins put in drawer, drawer closed (three times) - 1969 (23Z,reprocessed)",36,Cash Registers,ECD085,Interiors - Shops and Cash Registers,25
07074212.wav,"Class One Hundred - opened, bell, change given, coins put in drawer, drawer closed (six times) - 1969 (23Z,reprocessed)",54,Cash Registers,ECD085,Interiors - Shops and Cash Registers,24
07074211.wav,"Manual - bell, change given and coins put in drawer, drawer closed (three times) - 1966 (9A,reprocessed)",27,Cash Registers,ECD085,Interiors - Shops and Cash Registers,23
07074210.wav,"Manual - bell, change given and coins put in drawer, drawer closed (twice) - 1966 (9A,reprocessed)",17,Cash Registers,ECD085,Interiors - Shops and Cash Registers,22
07074209.wav,"Manual - bell, keyboard, change given and coins put in drawer, drawer closed - 1966 (9A,reprocessed)",13,Cash Registers,ECD085,Interiors - Shops and Cash Registers,21
07074208.wav,"Manual - bell, change given and coins put in drawer, drawer closed - 1966 (9A,reprocessed)",12,Cash Registers,ECD085,Interiors - Shops and Cash Registers,20
07074207.wav,"Atmosphere in store with distinct speech (pre-decimal coinage) - Sept '1967 (23F,reprocessed)",253,Atmospheres: Villages,ECD085,Interiors - Shops and Cash Registers,19
07074206.wav,"Checkout, cash registers and sounds of wrapping - 1981 (1C26,reprocessed)",61,Cash Registers,ECD085,Interiors - Shops and Cash Registers,18
07074205.wav,"General atmosphere, occasional trolley and bell - 1981 (1C26,reprocessed)",269,Shops: Supermarkets,ECD085,Interiors - Shops and Cash Registers,17
07074204.wav,"Atmosphere in a quiet urban post office with footsteps, voices and distant traffic - Jan '1980 (1C21,reprocessed) (technical note - for use at low level)",304,Post Offices,ECD085,Interiors - Shops and Cash Registers,16
07074203.wav,"Petrol station shop, with occasional voices and distant traffic - 1985 (4P1,reprocessed)",181,Petrol Stations,ECD085,Interiors - Shops and Cash Registers,15
07074202.wav,"Thirty budgerigars in shed (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)",119,Birds,ECD085,Interiors - Shops and Cash Registers,14
07074201.wav,"Agitated birds and cockatiel screeching (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)",15,Birds,ECD085,Interiors - Shops and Cash Registers,13
07074200.wav,"Agitated birds and cockatiel screeching (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)",10,Birds,ECD085,Interiors - Shops and Cash Registers,12
07074199.wav,"Birds flapping wings with faint calls (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)",13,Birds,ECD085,Interiors - Shops and Cash Registers,11
07074198.wav,"A cockatiel calling (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)",9,Birds,ECD085,Interiors - Shops and Cash Registers,10
07074197.wav,"Atmosphere in a small shop with caged birds (recorded in a pet shop but suitable for an aviary (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)",64,Birds,ECD085,Interiors - Shops and Cash Registers,9
07074196.wav,"Aquarium, close perspective - 1986 (1B19,reprocessed)",66,Aquaria,ECD085,Interiors - Shops and Cash Registers,8
07074195.wav,"Atmosphere in a large shop, with aquaria and mixed birds (rec. Stubbington, Hants) - 1986 (1B19,reprocessed)",359,Aquaria,ECD085,Interiors - Shops and Cash Registers,7
07074194.wav,"Atmosphere with cash conveyor, some distinct speech - April 1967 (23D,reprocessed)",263,Shops: Drapers,ECD085,Interiors - Shops and Cash Registers,6
07074193.wav,"Atmosphere recorded in a London department store - John Lewis - 1973 (1C3,reprocessed)",325,Shops: Department Stores,ECD085,Interiors - Shops and Cash Registers,5
07074192.wav,"Atmosphere recorded in a London chain store - British Home Stores - 1973 (1C3,reprocessed)",287,Shops: Chain Stores,ECD085,Interiors - Shops and Cash Registers,4
07074191.wav,"Crowds and manual cash registers - Woolworths - 1975 (1C26,reprocessed)",306,Cash Registers,ECD085,Interiors - Shops and Cash Registers,3
07074190.wav,"Quiet atmosphere in a bank, traffic noise increases when door opens - 1981 (1C12,reprocesses)",297,Banks,ECD085,Interiors - Shops and Cash Registers,2
07074189.wav,"Atmosphere in a large indoor shopping arcade - 1974 (recorded in Holland, no distinct speech) (1C14,reprocessed)",301,Shops: Holland,ECD085,Interiors - Shops and Cash Registers,1
07074188.wav,"Group in foreground running to stop - 1968 (7G, reprocessed)",21,Footsteps: Comedy,ECD095,Comedy 2,96
07074187.wav,"Two people run to distance and double splash - 1968 (7G, reprocessed)",14,Footsteps: Comedy,ECD095,Comedy 2,95
07074186.wav,"Run to distance and splash - 1968 (7G, reprocessed)",10,Footsteps: Comedy,ECD095,Comedy 2,94
07074185.wav,"Run to distance and return - 1968 (7G, reprocessed)",21,Footsteps: Comedy,ECD095,Comedy 2,93
07074184.wav,"One pair of feet approach and stop - 1968 (7G, reprocessed)",6,Footsteps: Comedy,ECD095,Comedy 2,92
07074183.wav,"One pair of feet approach and explosion - 1968 (7G, reprocessed)",11,Footsteps: Comedy,ECD095,Comedy 2,91
07074182.wav,"Squeaky feet, door open and close with squeak - 1968 (7G, reprocessed)",18,Footsteps: Comedy,ECD095,Comedy 2,90
07074181.wav,"Strolling through ovens, oven door open and close - 1968 (7G, reprocessed)",33,Footsteps: Comedy,ECD095,Comedy 2,89
07074180.wav,"One pair of feet overhead and removing boots - 1968 (7G, reprocessed)",39,Footsteps: Comedy,ECD095,Comedy 2,88
07074179.wav,"One pair of feet approach to door, door open and close, feet depart - 1968 (7G, reprocessed)",6,Footsteps: Comedy,ECD095,Comedy 2,87
07074178.wav,"Feet overhead on wood - 1968 (7G, reprocessed)",27,Footsteps: Comedy,ECD095,Comedy 2,86
07074177.wav,"Tap turned on, fizzy liquid gurgles out - 1967 (7B, reprocessed)",44,Fizzy Liquids: Comedy,ECD095,Comedy 2,85
07074176.wav,"36 people brawling - 1968 (170A, reprocessed)",53,Fights: Comic,ECD095,Comedy 2,84
07074175.wav,"6 people brawling - 1968 (170A, reprocessed)",116,Fights: Comic,ECD095,Comedy 2,83
07074174.wav,"3 people brawling - 1968 (170A, reprocessed)",117,Fights: Comic,ECD095,Comedy 2,82
07074173.wav,Continuous body falls - continuous heavy movement (170A),32,Comedy: Fights,ECD095,Comedy 2,81
07074172.wav,"Two body falls - 1968 (170A, reprocessed)",32,Fights: Comic,ECD095,Comedy 2,80
07074171.wav,"Punches, 3 backhanders - 1968 (170A, reprocessed)",6,Fights: Comic,ECD095,Comedy 2,79
07074170.wav,"4 stomach punches - 1968 (170A, reprocessed)",10,Fights: Comic,ECD095,Comedy 2,78
07074169.wav,"Tum punch - 1967 (7A, reprocessed)",3,Fights: Comic,ECD095,Comedy 2,77
07074168.wav,"Cod indoor fight - 1967 (7C, reprocessed)",25,Fights: Comic,ECD095,Comedy 2,76
07074167.wav,"Scuffle with twangs - 1967 (7E, reprocessed)",28,Fights: Comic,ECD095,Comedy 2,75
07074166.wav,"Saloon bar brawl - 1967 (7E, reprocessed)",116,Fights: Comic,ECD095,Comedy 2,74
07074165.wav,"Swordfight with shots and groans - 1967 (7E, reprocessed)",32,Fights: Comic,ECD095,Comedy 2,73
07074164.wav,"Musical explosion - 1967 (7F, reprocessed)",9,Explosions: Comedy,ECD095,Comedy 2,72
07074163.wav,"Execution being carried out with a block and large axe - 1974 (199A, reprocessed)",11,Executions: Comedy,ECD095,Comedy 2,71
07074162.wav,"Execution being carried out with a block and axe - 1974 (199A, reprocessed)",8,Executions: Comedy,ECD095,Comedy 2,70
07074161.wav,"Execution being carried out with a block and sword - 1971 (199A, reprocessed)",8,Executions: Comedy,ECD095,Comedy 2,69
07074160.wav,"Guillotine being used at an execution - 1971 (199A, reprocessed)",4,Executions: Comedy,ECD095,Comedy 2,68
07074159.wav,"Masticating apple - 1967 (7C, reprocessed)",29,Eating: Comedy,ECD095,Comedy 2,67
07074158.wav,"Man drinking bucket of cold cocoa - 1967 (7F, reprocessed)",18,Drinking: Comedy,ECD095,Comedy 2,66
07074157.wav,"One drawbridge opening sideways - 1972 (7K, reprocessed)",10,Drawbridges: Comedy,ECD095,Comedy 2,65
07074156.wav,"Breaking down door - 1968 (7H, reprocessed)",36,Cymbals: Comedy,ECD095,Comedy 2,64
07074155.wav,"Knocking with doors opening and closing - 1968 (7G, reprocessed)",22,Cymbals: Comedy,ECD095,Comedy 2,63
07074154.wav,"Cymbals clang and drop - 1967 (7B, reprocessed)",6,Cymbals: Comedy,ECD095,Comedy 2,62
07074153.wav,"Small crowd gasps - 1969 (169C, reprocessed)",8,Crowds: Comedy,ECD095,Comedy 2,61
07074152.wav,"Busy English market - 1967 (7E, reprocessed)",69,Crowds: Comedy,ECD095,Comedy 2,60
07074151.wav,"Crowd panics - 1968 (7H, reprocessed)",19,Crowds: Comedy,ECD095,Comedy 2,59
07074150.wav,"Crowd panic and rush for exits - 1967 (7E, reprocessed)",18,Crowds: Comedy,ECD095,Comedy 2,58
07074149.wav,"English club chatter - 1967 (7E, reprocessed)",51,Crowds: Comedy,ECD095,Comedy 2,57
07074147.wav,"Mixed group booing and bleating - 1967 (7E, reprocessed)",56,Crowds: Comedy,ECD095,Comedy 2,55
07074146.wav,"Small group, half-hearted hurrahs - 1967 (7E, reprocessed)",17,Crowds: Comedy,ECD095,Comedy 2,54
07074145.wav,"Small group cheering - 1972 (7K, reprocessed)",17,Crowds: Comedy,ECD095,Comedy 2,53
07074144.wav,"3 furniture crashes - 1968 (170A, reprocessed)",13,Crashes: Comedy,ECD095,Comedy 2,52
07074143.wav,"Comic metal crash - 1971 (84F, reprocessed)",7,Crashes: Comedy,ECD095,Comedy 2,51
07074142.wav,"Metal crash - 1972 (7M, reprocessed)",10,Crashes: Comedy,ECD095,Comedy 2,50
07074141.wav,"Girders clanging - 1967 (7B, reprocessed)",7,Crashes: Comedy,ECD095,Comedy 2,49
07074140.wav,"Shovelling tins - 1967 (7B, reprocessed)",37,Crashes: Comedy,ECD095,Comedy 2,48
07074139.wav,"Gas stove dropped - 1967 (7C, reprocessed)",6,Crashes: Comedy,ECD095,Comedy 2,47
07074138.wav,"Things falling and clanging - 1967 (7C, reprocessed)",13,Crashes: Comedy,ECD095,Comedy 2,46
07074137.wav,"Long, drawn out crash - 1972 (7K, reprocessed)",27,Crashes: Comedy,ECD095,Comedy 2,45
07074136.wav,"Frantic banging and clanging - 1967 (7B, reprocessed)",32,Crashes: Comedy,ECD095,Comedy 2,44
